Algoritmo;Vetor;Tempo
mergesort; a100.txt; 0.000000
quick_sort; a100.txt; 0.000000
mergesort; a1000.txt; 0.000000
quick_sort; a1000.txt; 0.000000
mergesort; a10000.txt; 2.000000
quick_sort; a10000.txt; 2.000000
mergesort; a100000.txt; 25.000000
quick_sort; a100000.txt; 22.000000
mergesort; a1000000.txt; 249.000000
quick_sort; a1000000.txt; 1385.000000
mergesort; a1250000.txt; 311.000000
quick_sort; a1250000.txt; 1646.000000
mergesort; a15000.txt; 3.000000
quick_sort; a15000.txt; 2.000000
mergesort; a1500000.txt; 373.000000
quick_sort; a1500000.txt; 2340.000000
mergesort; a200.txt; 0.000000
quick_sort; a200.txt; 0.000000
mergesort; a2000.txt; 0.000000
quick_sort; a2000.txt; 1.000000
mergesort; a200000.txt; 48.000000
quick_sort; a200000.txt; 63.000000
mergesort; a2000000.txt; 478.000000
quick_sort; a2000000.txt; 4012.000000
mergesort; a30000.txt; 6.000000
quick_sort; a30000.txt; 4.000000
mergesort; a500.txt; 0.000000
quick_sort; a500.txt; 0.000000
mergesort; a5000.txt; 1.000000
quick_sort; a5000.txt; 0.000000
mergesort; a50000.txt; 15.000000
quick_sort; a50000.txt; 11.000000
mergesort; a500000.txt; 117.000000
quick_sort; a500000.txt; 295.000000
mergesort; a7500.txt; 1.000000
quick_sort; a7500.txt; 1.000000
mergesort; a75000.txt; 18.000000
quick_sort; a75000.txt; 13.000000
mergesort; a750000.txt; 158.000000
quick_sort; a750000.txt; 628.000000
