Algoritmo;Vetor;Tempo
mergesort; o100.txt; 0.000000
quick_sort; o100.txt; 0.000000
mergesort; o1000.txt; 1.000000
quick_sort; o1000.txt; 0.000000
mergesort; o10000.txt; 0.000000
quick_sort; o10000.txt; 2.000000
mergesort; o100000.txt; 2.000000
quick_sort; o100000.txt; 24.000000
mergesort; o1000000.txt; 24.000000
quick_sort; o1000000.txt; 1465.000000
mergesort; o1250000.txt; 16.000000
quick_sort; o1250000.txt; 1838.000000
mergesort; o15000.txt; 0.000000
quick_sort; o15000.txt; 4.000000
mergesort; o1500000.txt; 35.000000
quick_sort; o1500000.txt; 2304.000000
mergesort; o200.txt; 0.000000
quick_sort; o200.txt; 0.000000
mergesort; o2000.txt; 0.000000
quick_sort; o2000.txt; 0.000000
mergesort; o200000.txt; 3.000000
quick_sort; o200000.txt; 64.000000
mergesort; o2000000.txt; 48.000000
quick_sort; o2000000.txt; 4051.000000
mergesort; o30000.txt; 1.000000
quick_sort; o30000.txt; 4.000000
mergesort; o500.txt; 0.000000
quick_sort; o500.txt; 0.000000
mergesort; o5000.txt; 0.000000
quick_sort; o5000.txt; 1.000000
mergesort; o50000.txt; 1.000000
quick_sort; o50000.txt; 9.000000
mergesort; o500000.txt; 6.000000
quick_sort; o500000.txt; 321.000000
mergesort; o7500.txt; 0.000000
quick_sort; o7500.txt; 1.000000
mergesort; o75000.txt; 1.000000
quick_sort; o75000.txt; 17.000000
mergesort; o750000.txt; 17.000000
quick_sort; o750000.txt; 618.000000
